签位,签权球队,模拟选择,位置,学校或俱乐部,判断标签,简短理由
1,Philadelphia 76ers,Brandon Ingram,F,Duke,状元争议胜出,"DraftExpress 下调 Simmons 确定性，SI 5 月 25 日大榜将 Ingram 放第 1。"
2,Los Angeles Lakers,Ben Simmons,F,LSU,顶级天赋保底,"证据源仍一致支持 Simmons 属于最顶端天赋层。"
3,"Boston Celtics, from Brooklyn",Jamal Murray,G,Kentucky,投射与持球,"SI Mock 4.0 第 3 顺位给 Murray，SI Big Board 将他排第 4。"
4,Phoenix Suns,Dragan Bender,F/C,Maccabi Tel Aviv,现代前场上限,"CBS、B/R、SI 均支持 Bender 的前 3-4 档价值。"
5,Minnesota Timberwolves,Jaylen Brown,G/F,California,侧翼上限,"CBS 第 5、SI 第 8，接受其运动能力和上限，同时承认技能风险。"
6,New Orleans Pelicans,Buddy Hield,G,Oklahoma,即战投射,"SI Mock 明确写 New Orleans 需要投射，Hield 是证据源里的清晰射手。"
7,"Denver Nuggets, from New York",Marquese Chriss,F,Washington,高波动前场,"SI Big Board 第 10，并提示他是 6 月前上升型前场。"
8,Sacramento Kings,Kris Dunn,G,Providence,控卫价值,"CBS 第 4、SI 第 6、B/R 第 5，防守和持球均有高位证据。"
9,"Toronto Raptors, from Denver via New York",Domantas Sabonis,F/C,Gonzaga,稳定前场,"CBS 第 11、B/R 第 9，篮板、手感和稳定性支撑前十边缘。"
10,Milwaukee Bucks,Jakob Poeltl,C,Utah,成熟中锋,"SI Mock 将 Poeltl 与 Milwaukee 中锋需求关联，SI Big Board 第 9。"
11,Orlando Magic,Timothe Luwawu,G/F,Mega Leks,国际侧翼,"SI 第 11、CBS 第 14，尺寸、防守和投射框架成立。"
12,Utah Jazz,Denzel Valentine,G/F,Michigan State,成熟连接点,"CBS 第 10、SI Mock 第 12，投射、传球和即战力明确。"
13,"Phoenix Suns, from Washington",Henry Ellenson,F/C,Marquette,技术型内线,"SI 第 5、CBS 第 9，尺寸、持球和投射触感支撑乐透。"
14,Chicago Bulls,Deyonta Davis,F/C,Michigan State,防守型前场,"CBS 第 12、SI 第 12，篮板、盖帽和机动性支撑第 14。"
15,"Denver Nuggets, from Houston",Furkan Korkmaz,G,Anadolu Efes,海外投射,"CBS 第 19，SI Mock 把他放在 Denver 并支持留欧培养逻辑。"
16,"Boston Celtics, from Dallas",Skal Labissiere,F/C,Kentucky,风险天赋,"CBS 第 13，SI Mock 仍把他放进前 10 区间讨论。"
17,Memphis Grizzlies,Wade Baldwin IV,G,Vanderbilt,长臂后卫,"CBS 第 17，SI Mock 支持其 20 顺位附近价值。"
18,Detroit Pistons,Taurean Prince,F,Baylor,成熟锋线,"CBS 第 22，SI Mock 第 16，中后段首轮角色锋线。"
19,"Denver Nuggets, from Portland",Dejounte Murray,G,Washington,发展型后卫,"SI Mock 第 26，尺寸和突破支撑首轮边缘上限。"
20,Indiana Pacers,Demetrius Jackson,G,Notre Dame,后场轮换,"CBS 第 18、SI Mock 第 15，速度和力量支撑首轮。"
21,Atlanta Hawks,Damian Jones,C,Vanderbilt,工具型中锋,"SI Mock 第 21，并把他与 Atlanta 前场语境相连。"
22,Charlotte Hornets,Malik Beasley,G,Florida State,年轻得分,"B/R 第 13、CBS 第 20、SI Mock 第 22。"
23,Boston Celtics,Ante Zizic,C,Cibona Zagreb,海外内线储备,"SI 第 22、CBS 第 23，SI Mock 支持 Boston 储备逻辑。"
24,"Philadelphia 76ers, from Miami via Cleveland",DeAndre Bembry,G/F,Saint Joseph's,连接型侧翼,"SI 第 26、CBS 第 21、SI Mock 第 24。"
25,Los Angeles Clippers,Brice Johnson,F,North Carolina,即战前场活力,"SI Mock 第 25，大学产量和前场活力支撑争胜球队选择。"
26,"Philadelphia 76ers, from Oklahoma City via Denver and Cleveland",Juan Hernangomez,F,Estudiantes,欧洲前锋储备,"SI 第 27、SI Mock 第 27，投射、活力和灵活性。"
27,Toronto Raptors,Cheick Diallo,F/C,Kansas,防守内线项目,"SI Mock 第 28，并提到联合试训后的身体工具价值。"
28,"Phoenix Suns, from Cleveland via Boston",Ivica Zubac,C,Mega Leks,储备中锋,"SI 第 29、CBS 第 25，体型、手感和国际产量成立。"
29,San Antonio Spurs,Malcolm Brogdon,G,Virginia,成熟 3D 后卫,"SI Mock 第 29 直接把他描述为聪明球队会偷到的成熟后卫。"
30,Golden State Warriors,Caris LeVert,G/F,Michigan,伤病折扣持球点,"SI 第 32、SI Mock 第 30，伤病折扣下保留持球和投射价值。"
